NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual1 2 2.66 38 0.5 1 0
playerVirtual4 2 4.65 38 0.571429 1 0
playerVirtual5 2 4.65 38 0.5 1 0
