NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual0 1 5.31 38 0.166667 1 0
playerVirtual3 1 6.64 38 0.333333 1 0
playerVirtual2 1 5.31 38 0.166667 1 0
playerVirtual7 1 5.31 38 0.428571 1 0
playerVirtual6 1 5.97 38 0.571429 1 0
playerVirtual9 1 6.64 38 0.428571 1 0
