NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual8 3 1.33 38 0.166667 1 0
playerVirtual17 3 1.32 38 0.285714 1 0
playerVirtual21 3 0.98 27 0.4 1 0
playerVirtual20 3 1.98 17 0.2 1 0
