SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 3 0 0
2 8 0 0
3 11 0 0
4 16 0 0
5 22 0 0
6 30 0 0
7 36 0 0
8 39 0 1
9 45 0 2
10 49 0 3
11 50 0 7
12 58 0 7
13 62 0 9
14 61 0 12
15 60 0 16
16 61 0 18
17 62 0 21
18 61 0 23
19 65 0 24
20 69 0 25
21 70 0 28
22 73 0 30
23 71 0 34
24 71 0 37
25 72 0 38
26 70 0 43
27 69 0 45
28 68 0 48
29 68 0 50
30 71 0 50
