SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.800
5 0.833
6 0.714
7 0.625
8 0.750
9 0.750
10 0.750
11 0.667
12 0.778
13 0.778
14 0.700
15 0.800
16 0.800
17 0.800
18 0.800
19 0.727
20 0.818
21 0.818
22 0.818
23 0.818
24 0.818
25 0.818
26 0.818
27 0.750
28 0.750
29 0.750
30 0.750
