SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.800
5 0.833
6 0.833
7 0.833
8 0.833
9 0.833
10 0.833
11 0.833
12 0.833
13 0.833
14 0.714
15 0.857
16 0.857
17 0.857
18 0.857
19 0.857
20 0.750
21 0.875
22 0.875
23 0.875
24 0.875
25 0.875
26 0.875
27 0.778
28 0.889
29 0.889
30 0.889
