SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.606
3 0.654
4 0.590
5 0.652
6 0.602
7 0.539
8 0.552
9 0.528
10 0.556
11 0.499
12 0.489
13 0.479
14 0.447
15 0.490
16 0.475
17 0.465
18 0.441
19 0.463
20 0.430
21 0.420
22 0.406
23 0.392
24 0.401
25 0.400
26 0.418
27 0.390
28 0.394
29 0.382
