SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 31 0 0 0
3 41 2 0 0
4 53 6 1 0
5 53 10 3 0
6 55 14 5 0
7 62 14 7 0
8 58 16 12 0
9 58 17 14 0
10 54 18 18 0
11 54 18 20 0
12 55 19 22 0
13 55 19 23 0
14 59 19 24 0
15 61 19 26 0
16 59 21 28 0
17 58 23 30 0
18 60 24 31 0
19 60 26 32 0
20 59 29 34 0
21 57 30 36 0
22 57 31 38 0
23 58 32 39 0
24 61 32 39 0
25 59 33 40 1
26 61 38 41 1
27 60 40 42 1
28 60 42 43 1
29 59 42 44 1
