NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
playerVirtual1 0 0 0 1
playerVirtual1 1 1 9 2
playerVirtual1 2 0.75 9 3
playerVirtual1 2 0.75 9 4
playerVirtual1 3 0.666667 9 5
playerVirtual1 3 0.666667 9 5
playerVirtual1 4 0.5 9 7
playerVirtual1 4 0.5 9 8
playerVirtual1 5 0.5 9 9
playerVirtual1 5 0.5 9 10
playerVirtual1 6 0.5 9 11
playerVirtual1 6 0.5 9 12
playerVirtual1 7 0.555556 9 13
playerVirtual1 7 0.555556 9 14
playerVirtual1 8 0.5 9 15
playerVirtual1 8 0.5 9 15
playerVirtual1 9 0.5 9 17
playerVirtual1 9 0.5 9 17
playerVirtual1 10 0.545455 9 19
playerVirtual1 10 0.545455 9 20
playerVirtual1 11 0.545455 9 20
playerVirtual1 11 0.545455 9 22
playerVirtual1 12 0.545455 9 23
playerVirtual1 12 0.545455 9 23
playerVirtual1 13 0.545455 9 24
playerVirtual1 13 0.545455 9 26
playerVirtual1 14 0.636364 9 27
playerVirtual1 14 0.636364 9 28
playerVirtual1 15 0.636364 9 29
playerVirtual1 15 0.636364 9 30
playerVirtual1 16 0.583333 9 31
playerVirtual1 16 0.583333 9 32
playerVirtual1 17 0.583333 9 33
playerVirtual1 17 0.583333 9 34
playerVirtual1 18 0.538462 9 35
playerVirtual1 18 0.538462 9 35
playerVirtual1 19 0.538462 9 37
playerVirtual1 19 0.538462 9 38
playerVirtual1 20 0.538462 9 39
playerVirtual1 20 0.538462 9 40
playerVirtual1 21 0.5 9 40
playerVirtual1 21 0.5 9 42
playerVirtual1 22 0.5 9 43
playerVirtual1 22 0.5 9 44
playerVirtual1 23 0.5 9 44
playerVirtual1 23 0.5 9 45
playerVirtual1 24 0.5 9 46
playerVirtual1 24 0.5 9 47
playerVirtual1 25 0.466667 9 49
playerVirtual1 25 0.466667 9 49
playerVirtual1 26 0.466667 9 50
playerVirtual1 26 0.466667 9 51
playerVirtual1 27 0.466667 9 52
playerVirtual1 27 0.466667 9 53
playerVirtual1 28 0.466667 9 54
playerVirtual1 28 0.466667 9 56
playerVirtual1 29 0.466667 9 57
playerVirtual1 29 0.466667 9 57
playerVirtual1 30 0.466667 9 59
playerVirtual1 30 0.466667 9 59
playerVirtual1 31 0.466667 9 60
playerVirtual1 31 0.466667 9 61
playerVirtual1 32 0.5 9 62
playerVirtual1 32 0.5 9 63
playerVirtual1 33 0.4375 9 65
playerVirtual1 33 0.4375 9 65
playerVirtual1 34 0.4375 9 67
playerVirtual1 34 0.4375 9 67
playerVirtual1 35 0.4375 9 69
playerVirtual1 35 0.4375 9 69
playerVirtual1 36 0.4375 9 70
playerVirtual1 36 0.4375 9 71
playerVirtual1 37 0.411765 9 73
playerVirtual1 37 0.411765 9 74
playerVirtual1 38 0.411765 9 75
playerVirtual1 38 0.411765 9 76
playerVirtual1 39 0.411765 9 76
playerVirtual1 39 0.411765 9 78
playerVirtual1 40 0.411765 9 78
playerVirtual1 40 0.411765 9 79
playerVirtual1 41 0.411765 9 80
playerVirtual1 41 0.411765 9 82
playerVirtual1 42 0.411765 9 82
playerVirtual1 42 0.411765 9 83
playerVirtual1 43 0.388889 9 85
playerVirtual1 43 0.388889 9 85
playerVirtual1 44 0.388889 9 87
playerVirtual1 44 0.388889 9 88
playerVirtual1 45 0.388889 9 89
playerVirtual1 45 0.388889 9 90
playerVirtual1 46 0.388889 9 90
playerVirtual1 46 0.388889 9 90
playerVirtual1 47 0.421053 9 90
playerVirtual1 47 0.421053 9 90
playerVirtual1 48 0.368421 9 90
playerVirtual1 48 0.368421 9 90
playerVirtual1 49 0.368421 9 90
playerVirtual1 49 0.368421 9 90
playerVirtual1 50 0.368421 9 90
playerVirtual1 50 0.368421 9 90
playerVirtual1 51 0.368421 9 90
