NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual1 1 29.22 50 0.565217 1 0
playerVirtual2 1 13.28 50 0.318182 1 0
playerVirtual3 1 14.94 50 0.47619 1 0
playerVirtual4 1 13.95 50 0.545455 1 0
playerVirtual5 1 17.27 50 0.454545 1 0
playerVirtual6 1 7.31 52 0.454545 1 0
playerVirtual7 1 25.89 50 0.777778 1 0
playerVirtual9 1 11.62 50 0.761905 1 0
playerVirtual0 1 8.3 51 0.15 1 0
