PLAYERS REQUESTS FAIRNESS
0 0 0 90
11 21 1 90
12 43 0.976744 90
13 59 0.966102 90
14 67 0.970149 90
15 76 0.973684 90
16 81 0.975309 90
17 85 0.976471 90
18 86 0.976744 90
19 90 0.977778 90
20 92 0.978261 90
21 96 0.979167 90
22 97 0.979381 90
23 101 0.980198 90
24 103 0.980583 90
25 104 0.980769 90
26 108 0.981481 90
27 109 0.981651 90
28 111 0.981982 90
29 113 0.982301 90
30 116 0.982759 90
31 117 0.982906 90
32 117 0.982906 90
33 119 0.983193 90
34 122 0.983607 90
35 124 0.983871 90
36 125 0.984 90
37 125 0.984 90
38 126 0.984127 90
39 126 0.984127 90
40 128 0.984375 90
41 131 0.984733 90
42 134 0.985075 90
43 135 0.985185 90
44 136 0.985294 90
45 136 0.985294 90
46 138 0.985507 90
47 139 0.985611 90
48 141 0.985816 90
49 142 0.985915 90
50 144 0.986111 90
51 144 0.986111 90
52 145 0.986207 90
53 145 0.986207 90
54 147 0.986395 90
55 149 0.986577 90
56 150 0.986667 90
57 152 0.986842 90
58 152 0.986842 90
59 152 0.986842 90
60 153 0.986928 90
61 155 0.987097 90
62 157 0.987261 90
63 160 0.9875 90
64 161 0.987578 90
65 161 0.987578 90
66 161 0.987578 90
67 161 0.987578 90
68 161 0.987578 90
69 162 0.987654 90
70 164 0.987805 90
71 166 0.987952 90
72 168 0.988095 90
73 169 0.988166 90
74 171 0.988304 90
75 171 0.988304 90
76 172 0.988372 90
77 174 0.988506 90
78 175 0.988571 90
79 176 0.988636 90
80 178 0.988764 90
81 179 0.988827 90
82 179 0.988827 90
83 181 0.98895 90
84 181 0.98895 90
85 181 0.98895 90
86 182 0.989011 90
87 183 0.989071 90
88 184 0.98913 90
89 185 0.989189 90
90 185 0.989189 90
91 185 0.989189 90
92 187 0.989305 90
93 189 0.989418 90
94 191 0.989529 90
95 192 0.989583 90
96 193 0.989637 90
97 194 0.989691 90
98 195 0.989744 90
99 195 0.989744 90
100 195 0.989744 90
100 196 0.989796 90
100 197 0.989848 90
100 199 0.98995 90
100 199 0.98995 90
100 200 0.99 90
100 201 0.99005 90
100 202 0.990099 90
100 203 0.990148 90
100 205 0.990244 90
100 207 0.990338 90
