NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
 0
playerVirtual7 1 0 6 4
playerVirtual7 2 0 6 8
playerVirtual7 3 0 6 12
playerVirtual7 4 0.25 6 16
playerVirtual7 4 0.25 6 20
playerVirtual7 5 0.4 6 24
playerVirtual7 5 0.4 6 28
playerVirtual7 6 0.333333 6 32
playerVirtual7 6 0.333333 6 36
playerVirtual7 7 0.333333 6 40
playerVirtual7 7 0.333333 6 44
playerVirtual7 8 0.333333 6 48
playerVirtual7 8 0.333333 6 52
playerVirtual7 9 0.285714 6 56
playerVirtual7 9 0.285714 6 60
playerVirtual7 10 0.285714 6 64
playerVirtual7 10 0.285714 6 68
playerVirtual7 11 0.285714 6 72
playerVirtual7 11 0.285714 6 76
playerVirtual7 12 0.285714 6 80
playerVirtual7 12 0.285714 6 84
playerVirtual7 13 0.25 6 88
playerVirtual7 13 0.25 6 88
playerVirtual7 14 0.25 6 88
playerVirtual7 14 0.25 6 88
playerVirtual7 15 0.25 6 88
playerVirtual7 15 0.25 6 88
playerVirtual7 16 0.25 6 88
playerVirtual7 16 0.25 6 88
playerVirtual7 17 0.25 6 88
playerVirtual7 17 0.25 6 88
playerVirtual7 18 0.25 6 88
playerVirtual7 18 0.25 6 88
playerVirtual7 19 0.333333 6 88
playerVirtual7 19 0.333333 6 88
playerVirtual7 20 0.333333 6 88
playerVirtual7 20 0.333333 6 88
playerVirtual7 20 0.333333 6 88
playerVirtual7 20 0.333333 6 88
playerVirtual7 19 0.333333 6 88
playerVirtual7 19 0.333333 6 88
playerVirtual7 18 0.333333 6 88
playerVirtual7 18 0.333333 6 88
playerVirtual7 17 0.333333 6 88
playerVirtual7 17 0.333333 6 88
playerVirtual7 16 0.333333 6 88
playerVirtual7 16 0.333333 6 88
playerVirtual7 15 0.333333 6 88
playerVirtual7 15 0.333333 6 88
playerVirtual7 14 0.333333 6 88
playerVirtual7 14 0.333333 6 88
playerVirtual7 13 0.333333 6 88
playerVirtual7 13 0.333333 6 88
playerVirtual7 12 0.333333 6 88
playerVirtual7 12 0.333333 6 88
playerVirtual7 11 0.333333 6 88
playerVirtual7 11 0.333333 6 88
playerVirtual7 10 0.333333 6 88
playerVirtual7 10 0.333333 6 88
playerVirtual7 9 0.333333 6 88
playerVirtual7 9 0.333333 6 88
playerVirtual7 8 0.333333 6 88
playerVirtual7 8 0.333333 6 88
playerVirtual7 7 0.333333 6 88
playerVirtual7 7 0.333333 6 88
playerVirtual7 6 0.333333 6 88
playerVirtual7 6 0.333333 6 88
playerVirtual7 5 0.333333 6 88
playerVirtual7 5 0.333333 6 88
playerVirtual7 4 0.333333 6 88
playerVirtual7 4 0.333333 6 88
playerVirtual7 3 0.333333 6 88
playerVirtual7 3 0.333333 6 88
playerVirtual7 2 0.333333 6 88
playerVirtual7 2 0.333333 6 88
playerVirtual7 1 0.333333 6 88
playerVirtual7 1 0.333333 6 88
playerVirtual7 0 0.333333 6 88
playerVirtual7 0 0.333333 6 88
playerVirtual7 0 0.333333 6 88
playerVirtual7 0 0.333333 6 88
playerVirtual7 1 0.333333 6 88
playerVirtual7 2 0.333333 6 88
playerVirtual7 3 0.333333 6 88
playerVirtual7 4 0.333333 6 88
playerVirtual7 5 0.333333 6 88
playerVirtual7 6 0.333333 6 88
playerVirtual7 7 0.333333 6 88
playerVirtual7 8 0.333333 6 88
playerVirtual7 9 0.333333 6 88
playerVirtual7 10 0.333333 6 88
playerVirtual7 11 0.333333 6 88
playerVirtual7 12 0.333333 6 88
playerVirtual7 13 0.333333 6 88
playerVirtual7 14 0.333333 6 88
playerVirtual7 15 0.333333 6 88
playerVirtual7 16 0.333333 6 88
playerVirtual7 17 0.333333 6 88
playerVirtual7 18 0.333333 6 88
playerVirtual7 19 0.333333 6 88
