NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual10 3 2.64 92 0.333333 1 0
playerVirtual11 3 2.31 98 0.571429 1 0
playerVirtual80 3 0.99 69 0 1 0
