SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 18 0 0
2 31 0 0
3 35 0 0
4 39 0 2
5 40 0 4
6 37 0 7
7 37 0 7
8 34 1 9
9 34 1 9
10 32 1 11
11 31 1 12
12 31 1 12
13 30 1 13
14 30 1 13
15 29 1 14
16 29 1 14
17 29 1 14
18 29 1 14
19 29 1 14
20 29 1 14
21 29 1 14
22 29 1 14
23 27 1 16
24 27 1 16
25 27 1 16
26 26 1 17
27 26 1 17
28 25 1 18
29 26 1 19
30 26 1 19
31 27 1 19
32 26 2 19
33 27 2 19
34 28 2 19
35 29 2 19
36 30 2 19
37 30 3 19
38 31 3 19
39 31 3 19
40 32 3 19
41 32 3 19
42 31 3 20
43 31 3 20
44 31 3 20
45 31 3 20
46 31 3 20
47 31 3 20
48 31 3 20
49 31 3 20
50 31 3 20
51 31 3 20
52 31 3 20
53 31 3 20
54 31 3 20
55 31 3 20
56 31 3 20
57 31 3 20
58 31 3 20
59 31 3 20
60 31 3 20
61 31 3 20
62 31 3 20
63 31 3 20
64 31 3 20
65 31 3 20
66 31 3 20
67 31 3 20
68 31 3 20
69 31 3 20
70 31 3 20
71 31 3 20
72 31 3 20
73 31 3 20
74 31 3 20
75 31 3 20
76 31 3 20
77 31 3 20
78 31 3 20
79 31 3 20
80 31 3 20
81 31 3 20
82 31 3 20
83 31 3 20
84 31 3 20
85 31 3 20
86 31 3 20
87 31 3 20
88 31 3 20
89 31 3 20
90 31 3 20
91 31 3 20
92 31 3 20
93 31 3 20
94 31 3 20
95 31 3 20
96 31 3 20
97 31 3 20
98 31 3 20
99 31 3 20
100 31 3 20
