SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.606
3 0.633
4 0.587
5 0.667
6 0.603
7 0.570
8 0.556
9 0.541
10 0.505
11 0.487
12 0.456
13 0.431
14 0.401
15 0.380
16 0.377
17 0.360
18 0.338
19 0.329
20 0.311
21 0.298
22 0.287
23 0.277
24 0.269
25 0.262
26 0.255
27 0.246
28 0.251
29 0.244
