SAMPLE SI
0
1 0.000
2 0.667
3 0.600
4 0.833
5 1.000
6 1.000
7 0.857
8 0.875
9 1.000
10 0.889
11 1.000
12 1.000
13 1.000
14 1.000
15 0.900
16 1.000
17 1.000
18 1.000
19 1.000
20 1.000
21 0.909
22 0.909
23 0.909
24 0.909
25 0.909
26 0.909
27 0.909
28 0.909
29 0.909
30 0.909
