SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 30 1 0 0
3 42 2 0 0
4 53 6 1 0
5 53 10 3 0
6 57 11 5 0
7 60 17 7 0
8 59 19 10 0
9 58 21 12 0
10 55 22 17 0
11 55 24 18 0
12 53 25 22 0
13 51 28 23 0
14 52 29 24 0
15 55 30 25 0
16 53 32 26 0
17 51 33 28 0
18 51 35 30 0
19 53 35 30 0
20 52 37 31 0
21 52 39 31 0
22 53 40 31 0
23 55 41 31 0
24 53 43 32 0
25 54 44 32 0
26 53 45 35 0
27 54 45 36 0
28 52 46 37 0
29 51 46 39 0
