SAMPLE SI
0
1 0.000
2 0.667
3 0.500
4 0.600
5 0.667
6 0.667
7 0.667
8 0.667
9 0.667
10 0.667
11 0.667
12 0.667
13 0.667
14 0.571
15 0.714
16 0.714
17 0.714
18 0.714
19 0.625
20 0.625
21 0.625
22 0.625
23 0.625
24 0.625
25 0.625
26 0.556
27 0.667
28 0.667
29 0.667
30 0.667
