ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
1 192.168.0.200 playerVirtual1_450512000 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_ec34c2565f 3 1 2048 20 2018-02-16 21:51:14 2018-02-17 06:11:17
2 192.168.0.200 playerVirtual11_1438244924 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_7e0739e451 3 1 2048 20 2018-02-16 21:51:16 2018-02-16 22:17:03
3 192.168.0.200 playerVirtual4_640692267 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_245e542793 2 1 512 1 2018-02-16 21:51:19 2018-02-17 03:17:58
4 192.168.0.200 playerVirtual8_2381571381 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2381571381 0 1 2048 20 2018-02-16 21:51:20 2018-02-16 21:51:20
5 192.168.0.200 playerVirtual2_5297461910 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_e778de8bee 3 1 512 1 2018-02-16 21:51:22 2018-02-16 22:40:02
6 192.168.0.200 playerVirtual13_2790332778 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual2_a7947aa371 1 2 4096 40 2018-02-16 21:51:25 NULL
7 192.168.0.200 playerVirtual3_369721705 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_cd33db385f 1 2 4096 40 2018-02-16 21:51:26 NULL
8 192.168.0.200 playerVirtual6_317469422 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_317469422 0 2 4096 40 2018-02-16 21:51:26 2018-02-16 21:51:26
9 192.168.0.200 playerVirtual15_6955737 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_738e21d3ea 3 1 2048 20 2018-02-16 21:51:26 2018-02-16 22:10:56
10 192.168.0.200 playerVirtual17_257338104 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_3dd0901e1a 1 2 4096 40 2018-02-16 21:51:28 NULL
11 192.168.0.200 playerVirtual19_3584940347 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual19_3584940347 0 1 512 1 2018-02-16 21:51:28 2018-02-16 21:51:28
12 192.168.0.200 playerVirtual5_2433236783 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_8e77cef7bd 1 1 2048 20 2018-02-16 21:51:28 NULL
