SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 31 0 0 0
3 43 0 0 0
4 57 1 1 1
5 59 3 3 1
6 62 5 6 1
7 69 7 8 1
8 68 9 12 1
9 72 9 13 1
10 70 9 18 1
11 70 10 21 1
12 73 12 24 1
13 73 12 25 1
14 76 12 30 1
15 77 12 33 1
16 76 13 37 1
17 76 15 40 1
18 80 16 41 1
19 79 16 47 1
20 78 17 51 1
21 73 18 57 1
22 72 19 61 1
23 74 21 63 1
24 74 21 65 1
25 75 21 69 1
26 80 23 73 1
27 82 23 75 1
28 82 23 80 1
29 84 25 80 1
