SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.667
6 1.000
7 1.000
8 0.857
9 0.857
10 0.857
11 0.750
12 0.875
13 0.875
14 0.875
15 0.875
16 0.875
17 0.875
18 0.778
19 0.889
20 0.889
21 0.889
22 0.889
23 0.889
24 0.800
25 0.900
26 0.900
27 0.900
28 0.818
29 0.818
30 0.909
