SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.800
6 0.833
7 0.833
8 0.714
9 0.857
10 0.750
11 0.875
12 0.875
13 0.875
14 0.875
15 0.875
16 0.875
17 0.778
18 0.889
19 0.889
20 0.889
21 0.889
22 0.889
23 0.800
24 0.900
25 0.900
26 0.900
27 0.818
28 0.909
29 0.909
30 0.909
