ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_ed1860ac06 2 1 1 2048 20 2018-02-18 13:46:52 2018-02-18 14:19:22
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_f2606ffa57 1 1 1 512 1 2018-02-18 13:46:52 NULL
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_ae2ee1db82 1 1 2 4096 40 2018-02-18 13:46:52 NULL
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_1eb3d6370c 1 1 1 2048 20 2018-02-18 13:46:53 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 1 512 1 2018-02-18 13:46:53 2018-02-18 13:46:53
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_26e04e3089 1 1 1 2048 20 2018-02-18 13:46:53 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_5a8ec2e10b 1 1 2 4096 40 2018-02-18 13:46:54 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_995b1389ad 1 1 1 512 1 2018-02-18 13:48:56 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 1 512 1 2018-02-18 13:48:59 2018-02-18 13:48:59
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_45c332fc5c 1 1 1 512 1 2018-02-18 13:49:09 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_400453824 0 1 1 512 1 2018-02-18 13:49:10 2018-02-18 13:49:10
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_93afb977de 2 1 2 4096 40 2018-02-18 13:49:20 2018-02-18 16:41:51
46 192.168.0.200 playerVirtual3_4819935267 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_246a9863f6 1 1 2 4096 40 2018-02-18 13:49:25 NULL
47 192.168.0.200 playerVirtual13_4820217293 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual13_4820217293 0 1 2 4096 40 2018-02-18 13:49:27 2018-02-18 13:49:27
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual6_6264344062 0 1 1 512 1 2018-02-18 13:49:28 2018-02-18 13:49:28
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_3fd7921523 3 1 1 512 1 2018-02-18 13:49:39 2018-02-18 14:09:30
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_e598e871ea 3 1 1 2048 20 2018-02-18 13:49:43 2018-02-18 14:17:25
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual19_227443932 0 1 1 2048 20 2018-02-18 13:50:57 2018-02-18 13:50:57
52 192.168.0.200 playerVirtual9_2148750930 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_1557bcb6b0 2 1 1 2048 20 2018-02-18 13:51:04 2018-02-18 17:00:46
53 192.168.0.200 playerVirtual7_563574327 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_98ee4ab3b9 1 1 1 2048 20 2018-02-18 13:51:12 NULL
54 192.168.0.200 playerVirtual14_765651 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_79f60fbbf7 1 1 1 2048 20 2018-02-18 13:51:17 NULL
