SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.606
3 0.633
4 0.544
5 0.590
6 0.543
7 0.489
8 0.531
9 0.497
10 0.478
11 0.469
12 0.442
13 0.475
14 0.466
15 0.474
16 0.469
17 0.453
18 0.422
19 0.413
20 0.405
21 0.390
22 0.380
23 0.364
24 0.349
25 0.336
26 0.323
27 0.305
28 0.329
29 0.346
