SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.667
6 0.833
7 0.833
8 0.714
9 0.714
10 0.714
11 0.625
12 0.625
13 0.625
14 0.625
15 0.625
16 0.625
17 0.625
18 0.556
19 0.556
20 0.556
21 0.500
22 0.600
23 0.600
24 0.600
25 0.600
26 0.600
27 0.600
28 0.600
29 0.546
30 0.546
