SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 3 0 0
2 8 0 0
3 12 1 0
4 14 2 0
5 18 3 0
6 26 4 0
7 31 4 0
8 36 5 0
9 41 6 0
10 44 7 2
11 49 8 3
12 54 8 3
13 54 10 5
14 54 10 8
15 57 10 10
16 58 10 11
17 58 11 14
18 62 11 14
19 64 11 17
20 63 11 20
21 65 11 22
22 63 12 25
23 65 12 26
24 69 12 28
25 69 12 31
26 69 12 32
27 68 12 36
28 66 14 38
29 65 14 39
30 67 14 42
