SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 3 0 0
2 13 0 0
3 18 0 0
4 24 0 0
5 26 0 0
6 26 0 0
7 26 0 0
8 25 0 1
9 25 0 1
10 25 0 1
11 25 0 1
12 24 0 2
13 24 0 2
14 24 0 2
15 24 0 2
16 24 0 2
17 25 0 2
18 27 0 2
19 29 0 2
20 31 0 2
21 31 0 2
22 31 0 2
23 30 0 3
24 30 0 3
25 31 0 3
26 31 0 3
27 31 0 3
28 31 0 4
29 32 0 4
30 31 0 5
31 33 0 6
32 32 0 8
33 35 0 8
34 35 0 8
35 35 0 10
36 38 0 10
37 39 0 11
38 40 0 11
39 41 0 11
40 38 0 14
41 40 0 14
42 41 0 15
43 42 0 15
44 44 0 16
45 45 0 16
46 45 0 17
47 44 0 18
48 45 0 18
49 44 0 20
50 46 0 20
