NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
 0
playerVirtual1 1 1 9 1
playerVirtual1 2 1 9 2
playerVirtual1 3 1 9 3
playerVirtual1 4 1 9 4
playerVirtual1 4 1 9 5
playerVirtual1 5 1 9 6
playerVirtual1 5 1 9 7
playerVirtual1 6 1 9 8
playerVirtual1 6 1 9 9
playerVirtual1 7 1 9 10
playerVirtual1 7 1 9 11
playerVirtual1 8 1 9 12
playerVirtual1 8 1 9 13
playerVirtual1 9 1 9 14
playerVirtual1 9 1 9 15
playerVirtual1 10 1 9 16
playerVirtual1 10 1 9 17
playerVirtual1 11 1 9 18
playerVirtual1 11 1 9 19
playerVirtual1 12 1 9 20
playerVirtual1 12 1 9 21
playerVirtual1 13 1 9 22
playerVirtual1 13 1 9 23
playerVirtual1 14 1 9 24
playerVirtual1 14 1 9 25
playerVirtual1 15 1 9 26
playerVirtual1 15 1 9 27
playerVirtual1 15 1 9 28
playerVirtual1 16 1 9 29
playerVirtual1 16 1 9 30
playerVirtual1 17 1 9 31
playerVirtual1 17 1 9 32
playerVirtual1 18 1 9 33
playerVirtual1 18 1 9 34
playerVirtual1 19 1 9 35
playerVirtual1 19 1 9 36
playerVirtual1 20 1 9 37
playerVirtual1 20 1 9 38
playerVirtual1 21 1 9 39
playerVirtual1 21 1 9 40
playerVirtual1 22 1 9 41
playerVirtual1 22 1 9 42
playerVirtual1 23 1 9 43
playerVirtual1 23 1 9 44
playerVirtual1 24 1 9 45
playerVirtual1 24 1 9 46
playerVirtual1 25 1 9 47
playerVirtual1 25 1 9 48
playerVirtual1 26 1 9 49
playerVirtual1 26 1 9 50
playerVirtual1 27 1 9 51
playerVirtual1 27 1 9 52
playerVirtual1 28 1 9 53
playerVirtual1 28 1 9 54
playerVirtual1 29 1 9 55
playerVirtual1 29 1 9 56
playerVirtual1 30 1 9 57
playerVirtual1 30 1 9 58
playerVirtual1 31 1 9 59
playerVirtual1 31 1 9 60
playerVirtual1 32 1 9 61
playerVirtual1 32 1 9 62
playerVirtual1 33 1 9 63
playerVirtual1 33 1 9 64
playerVirtual1 34 1 9 65
playerVirtual1 34 1 9 66
playerVirtual1 35 1 9 67
playerVirtual1 35 1 9 68
playerVirtual1 36 1 9 69
playerVirtual1 36 1 9 70
playerVirtual1 37 1 9 71
playerVirtual1 37 1 9 72
playerVirtual1 38 1 9 73
playerVirtual1 38 1 9 74
playerVirtual1 39 1 9 75
playerVirtual1 39 1 9 76
playerVirtual1 40 1 9 77
playerVirtual1 40 1 9 78
playerVirtual1 41 1 9 79
playerVirtual1 41 1 9 80
playerVirtual1 42 1 9 81
playerVirtual1 42 1 9 82
playerVirtual1 43 1 9 83
playerVirtual1 43 1 9 84
playerVirtual1 44 1 9 85
playerVirtual1 44 1 9 86
playerVirtual1 45 1 9 87
playerVirtual1 45 1 9 88
playerVirtual1 46 1 9 89
playerVirtual1 46 1 9 90
playerVirtual1 47 1 9 90
playerVirtual1 47 1 9 90
playerVirtual1 48 1 9 90
playerVirtual1 48 1 9 90
playerVirtual1 49 1 9 90
playerVirtual1 49 1 9 90
playerVirtual1 50 1 9 90
playerVirtual1 50 1 9 90
playerVirtual1 51 1 9 90
playerVirtual1 51 1 9 90
