PLAYERS REQUESTS FAIRNESS
0 0 0 90
11 20 1 90
12 44 1 90
13 58 1 90
14 67 1 90
15 79 1 90
16 87 1 90
17 92 1 90
18 96 1 90
19 101 1 90
20 107 1 90
21 112 1 90
22 117 1 90
23 120 1 90
24 127 1 90
25 131 1 90
26 137 1 90
27 141 1 90
28 146 1 90
29 149 1 90
30 154 1 90
31 159 1 90
32 161 1 90
33 168 1 90
34 171 1 90
35 180 1 90
36 188 1 90
37 192 1 90
38 195 1 90
39 197 1 90
40 203 1 90
41 208 1 90
42 213 1 90
43 219 1 90
44 226 1 90
45 228 1 90
46 238 1 90
47 240 1 90
48 243 1 90
49 251 1 90
50 252 1 90
51 259 1 90
52 264 1 90
53 269 1 90
54 273 1 90
55 278 1 90
56 285 1 90
57 287 1 90
58 290 1 90
59 293 1 90
60 298 1 90
61 302 1 90
62 309 1 90
63 316 1 90
64 321 1 90
65 325 1 90
66 333 1 90
67 336 1 90
68 341 1 90
69 345 1 90
70 350 1 90
71 352 1 90
72 355 1 90
73 356 1 90
74 359 1 90
75 362 1 90
76 365 1 90
77 365 1 90
78 367 1 90
79 368 1 90
80 368 1 90
81 368 1 90
82 368 1 90
83 368 1 90
84 368 1 90
85 368 1 90
86 368 1 90
87 368 1 90
88 368 1 90
89 368 1 90
90 368 1 90
91 368 1 90
92 368 1 90
93 368 1 90
94 368 1 90
95 368 1 90
96 368 1 90
97 368 1 90
98 368 1 90
99 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
100 368 1 90
