SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 19 1 0
2 37 7 0
3 43 14 1
4 47 19 2
5 47 28 4
6 48 33 6
7 44 38 10
8 45 39 12
9 44 43 14
10 45 45 17
11 43 50 19
12 39 55 23
13 40 56 24
14 42 61 24
15 42 65 24
16 45 66 26
17 42 72 27
18 43 76 27
19 42 79 28
20 43 82 29
21 40 87 32
22 39 89 33
23 40 94 34
24 40 97 34
25 42 104 34
26 43 111 34
27 42 115 35
28 41 114 40
29 40 114 43
30 41 118 44
31 41 123 44
32 42 127 44
33 43 131 45
34 45 136 45
35 43 140 45
36 46 147 45
37 43 150 47
38 43 153 47
39 44 160 47
40 43 160 49
41 43 167 49
42 43 172 49
43 44 174 51
44 45 177 52
45 44 180 54
46 43 183 59
47 44 184 59
48 43 188 59
49 43 191 59
50 44 195 59
51 43 196 63
52 43 203 63
53 43 209 64
54 42 214 65
55 42 217 66
56 42 224 67
57 42 225 69
58 43 228 70
59 45 230 70
60 43 236 71
61 42 239 71
62 42 242 71
63 42 243 71
64 42 246 71
65 42 249 71
66 42 247 76
67 41 248 76
68 41 250 76
69 41 251 76
70 41 251 76
71 41 251 76
72 41 251 76
73 41 251 76
74 41 251 76
75 41 251 76
76 41 251 76
77 41 251 76
78 41 251 76
79 41 251 76
80 41 251 76
81 41 251 76
82 41 251 76
83 41 251 76
84 41 251 76
85 41 251 76
86 41 251 76
87 41 251 76
88 41 251 76
89 41 251 76
90 41 251 76
91 41 251 76
92 41 251 76
93 41 251 76
94 41 251 76
95 41 251 76
96 41 251 76
97 41 251 76
98 41 251 76
99 41 251 76
100 41 251 76
