name	score	history	fairness	accepts	running	rejects	max_instance
playerVirtual0	1.99	1	1	1	1	0	30
playerVirtual1	1.99	1	1	1	1	0	30
playerVirtual2	1.99	1	1	1	1	0	30
playerVirtual3	1.66	1	1	1	1	0	30
playerVirtual4	1.99	1	1	1	1	0	30
playerVirtual5	1.33	1	1	1	1	0	30
playerVirtual6	1.66	1	1	1	1	0	30
playerVirtual7	1.66	1	1	1	1	0	30
playerVirtual8	1.99	1	1	1	1	0	30
playerVirtual9	1.33	1	1	1	1	0	30
playerVirtual10	1.33	1	1	1	1	0	30
playerVirtual11	1.33	1	1	1	1	0	30
playerVirtual12	1.66	1	1	1	1	0	30
playerVirtual13	1.66	1	1	1	1	0	30
playerVirtual14	1.66	1	1	1	1	0	30
playerVirtual15	1.99	1	1	1	1	0	30
playerVirtual16	1.66	1	1	1	1	0	30
playerVirtual17	1.66	1	1	1	1	0	30
playerVirtual18	1.33	1	1	1	1	0	30
playerVirtual19	1.33	1	1	1	1	0	30
playerVirtual20	1.66	1	1	1	1	0	30
playerVirtual21	1.66	1	1	1	1	0	30
playerVirtual22	1.33	1	1	1	1	0	30
playerVirtual23	1.66	1	1	1	1	0	30
playerVirtual24	1.66	1	0	1	1	0	30
playerVirtual25	1.33	1	1	1	1	0	30
playerVirtual26	1.66	1	0	1	1	0	30
playerVirtual27	1.33	1	1	1	1	0	30
playerVirtual28	1.66	1	0	1	1	0	30
playerVirtual29	1.33	1	0	1	1	0	30
playerVirtual30	1.99	1	0	1	1	0	30
playerVirtual31	1.66	1	1	1	1	0	30
playerVirtual32	1.33	1	0	1	1	0	30
playerVirtual33	1.66	1	1	1	1	0	30
playerVirtual34	1.99	1	0	1	1	0	30
playerVirtual35	1.33	1	1	1	1	0	30
playerVirtual36	1.33	1	0	1	1	0	30
playerVirtual37	1.33	1	0	1	1	0	30
playerVirtual38	1.33	1	0	1	1	0	30
playerVirtual39	0	1	1	0	0	0	30
playerVirtual40	0	1	0	0	0	0	30
playerVirtual41	0	1	0	0	0	0	30
