SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 20 0 0
2 50 0 0
3 59 0 1
4 70 0 7
5 79 0 9
6 81 0 12
7 76 0 20
8 78 0 24
9 76 0 29
10 81 0 30
11 86 0 32
12 87 0 36
13 88 0 39
14 86 0 44
15 88 0 46
16 88 1 49
17 86 1 54
18 88 1 56
19 85 2 60
20 87 2 62
21 88 2 65
22 85 1 71
23 85 1 74
24 89 1 76
25 89 1 78
26 94 1 79
27 94 1 82
28 90 1 87
29 89 1 90
30 90 1 92
