SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 30 0 0 1
3 41 1 0 1
4 57 1 1 1
5 60 2 3 1
6 64 3 7 1
7 70 5 8 2
8 66 6 14 2
9 67 6 16 3
10 66 7 20 3
11 67 7 22 3
12 68 9 26 3
13 68 10 26 3
14 73 11 28 4
15 72 12 31 4
16 69 13 35 4
17 68 13 37 4
18 74 13 37 4
19 73 14 39 4
20 75 14 43 4
21 72 14 47 4
22 70 14 51 4
23 69 16 54 4
24 68 17 57 4
25 65 18 60 4
26 70 20 62 4
27 71 22 64 4
28 73 22 66 4
29 73 23 69 3
