SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.800
5 0.833
6 0.857
7 0.857
8 0.857
9 0.857
10 0.857
11 0.857
12 0.857
13 0.857
14 0.857
15 0.857
16 0.857
17 0.857
18 0.857
19 0.857
20 0.857
21 0.857
22 0.857
23 0.857
24 0.857
25 0.857
26 0.857
27 0.857
28 0.857
29 0.857
30 0.857
