SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.600
5 0.800
6 0.667
7 0.714
8 0.857
9 0.857
10 0.857
11 0.857
12 0.750
13 0.875
14 0.778
15 0.889
16 0.889
17 0.800
18 0.900
19 0.900
20 0.900
21 0.900
22 0.900
23 0.818
24 0.909
25 0.909
26 0.833
27 0.833
28 0.833
29 0.833
30 0.833
