SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.485
3 0.612
4 0.628
5 0.676
6 0.721
7 0.700
8 0.693
9 0.692
10 0.677
11 0.656
12 0.630
13 0.664
14 0.626
15 0.672
16 0.642
17 0.627
18 0.581
19 0.583
20 0.574
21 0.616
22 0.597
23 0.609
24 0.614
25 0.633
26 0.599
27 0.596
28 0.590
29 0.603
