SAMPLE SI_MEAN
0 0.000
1 0.000
2 0.606
3 0.604
4 0.531
5 0.560
6 0.515
7 0.453
8 0.463
9 0.446
10 0.404
11 0.393
12 0.373
13 0.368
14 0.329
15 0.315
16 0.302
17 0.299
18 0.289
19 0.274
20 0.263
21 0.239
22 0.238
23 0.227
24 0.224
25 0.221
26 0.220
27 0.208
28 0.204
29 0.197
