SAMPLE SI
1
2 0.000
3 0.667
4 0.400
5 0.667
6 0.667
7 0.667
8 0.571
9 0.571
10 0.571
11 0.500
12 0.500
13 0.500
14 0.500
15 0.444
16 0.444
17 0.444
18 0.444
19 0.444
20 0.444
21 0.444
22 0.400
23 0.400
24 0.400
25 0.400
26 0.400
27 0.400
28 0.364
29 0.636
30 0.636
