SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 29 2 0 0
3 38 6 0 0
4 48 10 1 1
5 46 18 2 1
6 46 25 4 1
7 49 28 6 1
8 48 32 9 1
9 44 37 11 1
10 42 40 14 1
11 44 42 15 1
12 44 45 19 1
13 41 48 20 1
14 43 55 21 1
15 43 58 22 1
16 43 61 23 1
17 45 62 24 1
18 43 69 24 1
19 42 71 25 1
20 43 80 25 1
21 43 82 25 1
22 43 84 27 1
23 43 87 28 1
24 43 89 29 1
25 42 95 29 1
26 42 102 30 1
27 41 107 33 1
28 42 112 33 1
29 42 115 34 1
