SAMPLE SI
1
2 0.000
3 0.667
4 0.750
5 0.800
6 0.833
7 1.000
8 0.857
9 0.875
10 0.875
11 0.875
12 0.875
13 0.875
14 0.875
15 0.778
16 0.889
17 0.889
18 0.889
19 0.800
20 0.800
21 0.800
22 0.800
23 0.800
24 0.800
25 0.800
26 0.800
27 0.800
28 0.800
29 0.727
30 0.727
