name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	3	0	0	0	2	2	0	4	1	0
playerVirtual1	3	0	0	0	1	1	0	9	1	0
playerVirtual2	3	0	0	0	1	1	0	4	1	0
playerVirtual3	3	0	0	0	1	1	0	6	1	0
playerVirtual4	3	0	0	0	1	1	0	6	1	0
playerVirtual5	3	0	0	0	1	1	0	6	1	0
playerVirtual6	3	0	0	0	1	1	0	2	1	0
playerVirtual7	3	0	0	0	1	1	0	6	1	0
playerVirtual8	3	0	0	0	1	1	0	1	1	0
playerVirtual9	3	0	0	0	1	1	0	5	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	2	6.31	1	1	4	4	0	4	1	0
playerVirtual1	2	6.97	1	1	4	4	0	9	1	0
playerVirtual2	2	6.97	1	1	4	4	0	4	1	0
playerVirtual3	2	6.31	1	1	4	4	0	6	1	0
playerVirtual4	2	5.32	1	1	4	4	0	6	1	0
playerVirtual5	2	4.65	1	1	3	3	0	6	1	0
playerVirtual6	2	3.32	1	1	2	2	0	2	1	0
playerVirtual7	2	5.31	1	1	3	3	0	6	1	0
playerVirtual8	3	1.66	1	1	1	1	0	1	1	0
playerVirtual9	2	4.98	1	1	3	3	0	5	1	0
playerVirtual10	3	0	1	1	0	0	0	0	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	6.31	3	1	4	4	0	4	1	0
playerVirtual1	1	13.28	3	1	8	8	0	9	1	0
playerVirtual2	1	6.97	3	1	4	4	0	4	1	0
playerVirtual3	1	9.96	3	1	6	6	0	6	1	0
playerVirtual4	1	8.64	2	1	6	6	0	6	1	0
playerVirtual5	1	9.63	2	1	6	6	0	6	1	0
playerVirtual6	2	3.32	2	1	2	2	0	2	1	0
playerVirtual7	1	9.63	2	1	6	6	0	6	1	0
playerVirtual8	3	1.66	2	0.75	1	1	0	1	1	0
playerVirtual9	1	8.3	2	1	5	5	0	5	1	0
playerVirtual10	3	-1	1	0.5	0	0	1	0	1	1
playerVirtual11	3	-1	0	0	0	0	1	0	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	5.31	4	1	4	4	1	4	1	0
playerVirtual1	1	14.94	4	0.833333	9	8	0	9	1	0
playerVirtual2	1	5.97	4	0.833333	4	4	1	4	1	0
playerVirtual3	1	8.96	4	0.833333	6	6	1	6	1	0
playerVirtual4	1	8.64	3	1	6	6	0	6	1	0
playerVirtual5	1	11.29	3	0.833333	7	6	0	6	1	0
playerVirtual6	2	2.32	2	0.833333	2	2	1	2	1	1
playerVirtual7	1	9.63	3	0.833333	6	6	0	6	1	0
playerVirtual8	3	-0.34	2	0.5	1	1	2	1	1	1
playerVirtual9	1	7.3	3	0.833333	5	5	1	5	1	0
playerVirtual10	3	-3	0	0.25	0	0	3	0	1	1
playerVirtual11	4	-3	0	0	0	0	3	0	0	1
playerVirtual12	3	-2	0	0	0	0	2	0	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	5.31	5	1	4	4	1	4	1	0
playerVirtual1	1	17.93	5	0.714286	11	9	0	9	1	0
playerVirtual2	1	5.97	5	0.714286	4	4	1	4	1	0
playerVirtual3	1	8.96	5	0.833333	6	6	1	6	1	0
playerVirtual4	1	10.3	4	1	7	6	0	6	1	0
playerVirtual5	1	10.29	4	0.714286	7	6	1	6	1	0
playerVirtual6	2	1.32	1	0.714286	2	2	2	2	1	1
playerVirtual7	1	8.63	4	0.714286	6	6	1	6	1	0
playerVirtual8	3	-1.34	1	0.5	1	1	3	1	1	1
playerVirtual9	1	7.3	4	0.857143	5	5	1	5	1	0
playerVirtual10	4	-3	0	0.25	0	0	3	0	0	1
playerVirtual11	4	-3	0	0	0	0	3	0	0	1
playerVirtual12	4	-3	0	0	0	0	3	0	0	1
playerVirtual13	3	-1	0	0	0	0	1	0	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	4.31	5	0.875	4	4	2	4	1	1
playerVirtual1	1	17.93	6	0.625	11	9	0	9	1	0
playerVirtual2	1	4.97	5	0.625	4	4	2	4	1	1
playerVirtual3	1	8.96	6	0.833333	6	6	1	6	1	0
playerVirtual4	1	10.3	5	1	7	6	0	6	1	0
playerVirtual5	1	10.29	5	0.625	7	6	1	6	1	0
playerVirtual6	2	1.32	0	0.625	2	2	2	2	1	1
playerVirtual7	1	8.63	5	0.714286	6	6	1	6	1	0
playerVirtual8	3	-0.01	0	0.428571	2	1	3	1	1	1
playerVirtual9	1	6.3	5	0.857143	5	5	2	5	1	0
playerVirtual10	4	-3	0	0.25	0	0	3	0	0	1
playerVirtual11	4	-3	0	0	0	0	3	0	0	1
playerVirtual12	4	-3	0	0	0	0	3	0	0	1
playerVirtual13	4	-2	0	0	0	0	2	0	0	1
playerVirtual14	3	-3	0	0	0	0	3	0	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	4.31	4	0.875	4	4	2	4	1	1
playerVirtual1	1	17.93	7	0.625	11	7	0	9	1	0
playerVirtual2	1	4.97	4	0.625	4	3	2	4	1	1
