2017-01-31_19:39:23; 100.0
2017-01-31_19:40:35; 100.0
2017-01-31_19:42:08; 100.0
2017-01-31_19:45:06; 100.0
2017-01-31_19:46:44; 100.0
2017-01-31_19:50:20; 100.0
2017-01-31_19:53:32; 100.0
2017-01-31_19:59:13; 100.0
2017-01-31_20:01:31; 100.0
2017-01-31_20:08:44; 100.0
2017-01-31_20:13:02; 100.0
2017-01-31_20:23:53; 100.0
2017-01-31_20:27:11; 100.0
2017-01-31_20:39:15; 100.0
2017-01-31_20:42:47; 100.0
2017-01-31_20:55:55; 100.0
2017-01-31_21:04:24; 100.0
2017-01-31_21:17:33; 100.0
2017-01-31_21:27:16; 100.0
2017-01-31_21:40:24; 100.0
2017-01-31_21:52:21; 100.0
2017-01-31_22:05:30; 100.0
2017-01-31_22:20:26; 100.0
2017-01-31_22:34:12; 100.0
2017-01-31_22:49:18; 100.0
2017-01-31_23:04:50; 100.0
2017-01-31_23:19:30; 100.0
2017-01-31_23:34:01; 100.0
2017-01-31_23:51:27; 100.0
2017-02-01_00:05:59; 100.0
2017-02-01_00:25:14; 100.0
2017-02-01_00:39:45; 100.0
2017-02-01_01:01:32; 100.0
2017-02-01_01:17:49; 100.0
2017-02-01_01:38:36; 100.0
2017-02-01_01:55:39; 100.0
2017-02-01_02:16:26; 100.0
2017-02-01_02:35:42; 100.0
2017-02-01_02:56:29; 100.0
2017-02-01_03:17:27; 100.0
2017-02-01_03:40:25; 100.0
2017-02-01_04:02:20; 100.0
2017-02-01_04:25:46; 100.0
2017-02-01_04:47:05; 100.0
2017-02-01_05:10:26; 100.0
2017-02-01_05:31:46; 100.0
2017-02-01_05:57:19; 100.0
2017-02-01_06:18:38; 100.0
2017-02-01_06:45:31; 100.0
2017-02-01_07:06:50; 100.0
2017-02-01_07:39:31; 100.0
2017-02-01_08:01:08; 100.0
2017-02-01_08:37:11; 100.0
2017-02-01_08:58:58; 100.0
2017-02-01_09:37:00; 100.0
2017-02-01_09:58:46; 100.0
2017-02-01_10:38:03; 100.0
2017-02-01_11:00:48; 100.0
2017-02-01_11:40:05; 100.0
2017-02-01_12:04:24; 100.0
2017-02-01_12:43:41; 100.0
2017-02-01_13:10:05; 100.0
2017-02-01_13:49:22; 100.0
2017-02-01_14:17:21; 100.0
2017-02-01_14:56:38; 100.0
