2017-01-31_19:39:31; 0
2017-01-31_19:40:41; 1
2017-01-31_19:42:57; 2
2017-01-31_19:45:13; 3
2017-01-31_19:47:37; 4
2017-01-31_19:51:41; 5
2017-01-31_19:54:28; 6
2017-01-31_19:58:48; 7
2017-01-31_20:02:51; 8
2017-01-31_20:08:26; 8
2017-01-31_20:12:18; 8
2017-01-31_20:21:30; 9
2017-01-31_20:32:04; 10
2017-01-31_20:43:00; 11
2017-01-31_20:51:33; 12
2017-01-31_21:04:23; 13
2017-01-31_21:12:57; 14
2017-01-31_21:26:10; 15
2017-01-31_21:34:44; 16
2017-01-31_21:49:53; 17
2017-01-31_21:58:28; 18
2017-01-31_22:15:40; 19
2017-01-31_22:24:15; 20
2017-01-31_22:43:28; 21
2017-01-31_22:52:04; 22
2017-01-31_23:13:09; 23
2017-01-31_23:22:26; 23
2017-01-31_23:43:32; 24
2017-01-31_23:52:50; 25
2017-02-01_00:15:54; 26
2017-02-01_00:25:11; 27
2017-02-01_00:50:09; 28
2017-02-01_00:59:27; 29
2017-02-01_01:25:58; 30
2017-02-01_01:35:15; 31
2017-02-01_02:04:40; 32
2017-02-01_02:15:50; 33
2017-02-01_02:44:15; 34
2017-02-01_02:57:33; 35
2017-02-01_03:26:10; 36
2017-02-01_03:38:29; 37
2017-02-01_04:09:43; 38
2017-02-01_04:23:57; 39
2017-02-01_04:55:08; 40
2017-02-01_05:08:23; 41
2017-02-01_05:41:20; 42
2017-02-01_05:54:34; 43
2017-02-01_06:29:49; 44
2017-02-01_06:44:14; 45
2017-02-01_07:18:29; 46
2017-02-01_07:38:48; 47
2017-02-01_08:15:04; 48
2017-02-01_08:36:25; 49
2017-02-01_09:12:11; 50
2017-02-01_09:36:56; 51
2017-02-01_10:12:41; 52
2017-02-01_10:38:34; 53
2017-02-01_11:14:20; 54
2017-02-01_11:42:40; 55
2017-02-01_12:20:40; 56
2017-02-01_12:48:36; 57
2017-02-01_13:25:37; 58
2017-02-01_13:55:24; 59
2017-02-01_14:32:24; 60
