SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 19 0 0
2 44 0 0
3 53 0 1
4 62 0 6
5 69 0 8
6 67 0 11
7 65 1 16
8 65 2 19
9 63 2 23
10 66 2 23
11 69 2 25
12 73 2 26
13 73 2 28
14 69 2 32
15 74 2 33
16 73 2 36
17 73 2 38
18 71 2 42
19 71 2 44
20 72 2 45
21 72 2 48
22 73 2 50
23 73 3 52
24 74 3 53
25 75 4 54
26 77 4 54
27 77 5 56
28 74 5 59
29 75 5 60
30 76 5 62
31 78 5 63
32 77 5 65
33 77 5 66
34 76 5 68
35 76 5 69
36 78 6 69
37 78 6 71
38 79 6 72
39 81 6 72
40 81 6 74
41 81 6 76
42 81 6 78
43 79 6 80
44 80 6 80
45 81 6 82
46 80 6 83
47 81 6 84
48 80 6 85
49 81 6 86
50 81 6 88
