ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
144 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual3 playerVirtual4_4246147567 0 2 4096 40 2018-02-13 23:50:00 2018-02-13 23:50:00
145 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_c105bbb076 3 2 4096 40 2018-02-13 23:51:03 2018-02-14 00:05:01
146 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_09aa8f030c 1 1 512 1 2018-02-14 00:01:07 NULL
147 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual11 playerVirtual11_517b90530e 3 2 4096 40 2018-02-14 00:08:17 2018-02-14 00:39:11
148 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual17 playerVirtual17_6b260ece1d 3 2 4096 40 2018-02-14 00:09:02 2018-02-14 00:23:47
149 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual12 playerVirtual12_b69b05a02f 3 2 4096 40 2018-02-14 00:11:29 2018-02-14 01:04:18
150 192.168.0.200 playerVirtual13_2148750930 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_8d646ee338 1 1 2048 20 2018-02-14 00:12:19 NULL
151 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_8c7750a2ab 3 2 4096 40 2018-02-14 00:14:13 2018-02-14 01:17:00
152 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_f1e22136f0 1 2 4096 40 2018-02-14 00:23:57 NULL
153 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual4 playerVirtual12_4246147567 0 2 4096 40 2018-02-14 00:27:56 2018-02-14 00:27:56
154 192.168.0.200 playerVirtual4_990694203 playerVirtual4 192.168.0.200 playerVirtual19 playerVirtual19_cbe2f3abbb 3 1 2048 20 2018-02-14 00:27:58 2018-02-14 00:41:00
155 192.168.0.200 playerVirtual11_794070039 playerVirtual11 192.168.0.200 playerVirtual3 playerVirtual11_794070039 0 1 512 1 2018-02-14 00:29:32 2018-02-14 00:29:32
156 192.168.0.200 playerVirtual17_5297461910 playerVirtual17 192.168.0.200 playerVirtual13 playerVirtual13_be5cc1d11f 1 1 512 1 2018-02-14 00:32:33 NULL
157 192.168.0.200 playerVirtual18_990694203 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_19c4ddcf7a 3 1 2048 20 2018-02-14 00:48:59 2018-02-14 01:04:39
158 192.168.0.200 playerVirtual15_990694203 playerVirtual15 192.168.0.200 playerVirtual18 playerVirtual18_28a04a0712 1 1 2048 20 2018-02-14 00:50:09 NULL
159 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_3eccb58a3c 3 2 4096 40 2018-02-14 00:51:31 2018-02-14 01:04:18
160 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_50eb4ffa46 3 2 4096 40 2018-02-14 00:55:44 2018-02-14 01:17:00
161 192.168.0.200 playerVirtual13_6390664602 playerVirtual13 192.168.0.200 playerVirtual4 playerVirtual13_6390664602 0 1 512 1 2018-02-14 01:06:31 2018-02-14 01:06:31
162 192.168.0.200 playerVirtual16_359920779 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_e0422969b0 1 1 512 1 2018-02-14 01:08:09 NULL
163 192.168.0.200 playerVirtual12_6391270721 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_8b12214402 1 1 512 1 2018-02-14 01:10:36 NULL
164 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual13 playerVirtual13_7e43cc516f 1 2 4096 40 2018-02-14 01:11:01 NULL
165 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_1dac96e119 1 2 4096 40 2018-02-14 01:12:51 NULL
