ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
34 192.168.0.200 playerVirtual7_904011 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_458c4d02b4 2 1 2048 20 2018-02-13 21:16:53 2018-02-13 21:51:34
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_cb03ce0b28 1 1 512 1 2018-02-13 21:16:54 NULL
36 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_4b8c387f98 1 2 4096 40 2018-02-13 21:16:55 NULL
37 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_5a9cceb305 1 1 2048 20 2018-02-13 21:16:55 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-13 21:16:55 2018-02-13 21:16:55
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_3db7cfd603 1 1 2048 20 2018-02-13 21:16:56 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_9eb97cd257 1 2 4096 40 2018-02-13 21:16:58 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_7ac3af8031 1 1 512 1 2018-02-13 21:18:59 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 512 1 2018-02-13 21:19:02 2018-02-13 21:19:02
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual4_38671842 0 1 512 1 2018-02-13 21:19:15 2018-02-13 21:19:15
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_513769909f 1 1 512 1 2018-02-13 21:19:15 NULL
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_b1e4e99fdd 2 2 4096 40 2018-02-13 21:19:23 2018-02-14 00:33:08
46 192.168.0.200 playerVirtual13_4819935267 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_4819935267 0 2 4096 40 2018-02-13 21:19:26 2018-02-13 21:19:26
47 192.168.0.200 playerVirtual3_4820217293 playerVirtual3 192.168.0.200 playerVirtual6 playerVirtual6_a34ce5d239 1 2 4096 40 2018-02-13 21:19:31 NULL
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual3_6589f0ceda 3 1 512 1 2018-02-13 21:19:31 2018-02-13 21:41:11
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_2b411e4672 3 1 512 1 2018-02-13 21:19:41 2018-02-13 21:39:33
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_f80c9f5711 3 1 2048 20 2018-02-13 21:19:46 2018-02-13 21:47:28
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_227443932 0 1 2048 20 2018-02-13 21:21:01 2018-02-13 21:21:01
52 192.168.0.200 playerVirtual9_2148750930 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_235577b731 2 1 2048 20 2018-02-13 21:21:06 2018-02-14 00:16:16
53 192.168.0.200 playerVirtual14_765651 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_41b3971e57 1 1 2048 20 2018-02-13 21:21:20 NULL
54 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_3abc4efc88 1 1 2048 20 2018-02-13 21:21:42 NULL
55 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_d789295f2a 1 1 2048 20 2018-02-13 21:21:44 NULL
56 192.168.0.200 playerVirtual10_272887063 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_779316e221 3 1 2048 20 2018-02-13 21:21:55 2018-02-13 21:27:59
57 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_55fdc7fbfc 1 1 512 1 2018-02-13 21:25:29 NULL
58 192.168.0.200 playerVirtual4_182859403 playerVirtual4 192.168.0.200 playerVirtual11 playerVirtual11_bad0f85a59 3 1 512 1 2018-02-13 21:26:32 2018-02-13 21:29:21
59 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual4 playerVirtual12_6282149131 0 1 512 1 2018-02-13 21:26:56 2018-02-13 21:26:56
60 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_990694203 0 1 2048 20 2018-02-13 21:27:22 2018-02-13 21:27:22
61 192.168.0.200 playerVirtual3_6280638724 playerVirtual3 192.168.0.200 playerVirtual13 playerVirtual13_59920c8c78 1 1 512 1 2018-02-13 21:27:28 NULL
62 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_790103686d 2 1 512 1 2018-02-13 21:27:35 2018-02-13 23:32:04
63 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual15_4476462938 0 1 2048 20 2018-02-13 21:27:44 2018-02-13 21:27:44
64 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_c448fb7a8e 3 1 2048 20 2018-02-13 21:27:52 2018-02-13 23:09:09
65 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_2359368952 0 1 512 1 2018-02-13 21:27:55 2018-02-13 21:27:55
66 192.168.0.200 playerVirtual9_682797 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_b6f9d47f7e 1 1 2048 20 2018-02-13 21:28:16 NULL
67 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_92d8f33cc5 1 1 2048 20 2018-02-13 21:28:26 NULL
68 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_f919c893d9 3 1 512 1 2018-02-13 21:28:39 2018-02-13 21:38:53
69 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual16 playerVirtual16_d95064a311 1 1 512 1 2018-02-13 21:30:54 NULL
70 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual18 playerVirtual18_a0338ccd4d 1 1 2048 20 2018-02-13 21:32:08 NULL
71 192.168.0.200 playerVirtual12_6955737 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_847978dea9 1 1 2048 20 2018-02-13 21:32:28 NULL
72 192.168.0.200 playerVirtual3_1438244924 playerVirtual3 192.168.0.200 playerVirtual11 playerVirtual11_641f78edd0 3 1 2048 20 2018-02-13 21:32:59 2018-02-13 23:26:15
73 192.168.0.200 playerVirtual6_6289704471 playerVirtual6 192.168.0.200 playerVirtual4 playerVirtual4_32389f39a7 3 1 512 1 2018-02-13 21:33:03 2018-02-13 21:51:25
74 192.168.0.200 playerVirtual10_1438244924 playerVirtual10 192.168.0.200 playerVirtual17 playerVirtual17_eaa051ed24 3 1 2048 20 2018-02-13 21:33:33 2018-02-13 21:40:27
75 192.168.0.200 playerVirtual17_794070039 playerVirtual17 192.168.0.200 playerVirtual6 playerVirtual17_794070039 0 1 512 1 2018-02-13 21:33:43 2018-02-13 21:33:43
76 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_dac83e06d0 3 1 2048 20 2018-02-13 21:35:35 2018-02-13 21:42:29
77 192.168.0.200 playerVirtual16_6296865278 playerVirtual16 192.168.0.200 playerVirtual9 playerVirtual16_6296865278 0 1 512 1 2018-02-13 21:37:47 2018-02-13 21:37:47
78 192.168.0.200 playerVirtual4_6296268057 playerVirtual4 192.168.0.200 playerVirtual19 playerVirtual19_7341870ce5 1 1 512 1 2018-02-13 21:41:24 NULL
79 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual3 playerVirtual14_6264344062 0 1 2048 20 2018-02-13 21:42:52 2018-02-13 21:42:52
80 192.168.0.200 playerVirtual13_182859403 playerVirtual13 192.168.0.200 playerVirtual12 playerVirtual12_29c9fdfb89 3 1 512 1 2018-02-13 21:43:32 2018-02-13 21:46:16
