NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual0 2 2.66 50 0.25 1 0
playerVirtual2 2 3.98 50 0.142857 1 0
playerVirtual5 2 4.65 50 0.285714 1 0
playerVirtual3 2 3.98 50 0.142857 1 0
playerVirtual6 2 3.32 50 0.428571 1 0
