NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
playerVirtual1 0 0 0 0
playerVirtual1 1 0 9 6
playerVirtual1 2 0.333333 9 12
playerVirtual1 3 0.333333 9 18
playerVirtual1 4 0.25 9 24
playerVirtual1 5 0.25 9 30
playerVirtual1 6 0.2 9 36
playerVirtual1 7 0.2 9 42
playerVirtual1 8 0.2 9 48
playerVirtual1 9 0.2 9 54
playerVirtual1 10 0.2 9 60
playerVirtual1 11 0.2 9 66
playerVirtual1 12 0.2 9 72
playerVirtual1 13 0.2 9 78
playerVirtual1 14 0.2 9 84
playerVirtual1 15 0.2 9 90
playerVirtual1 16 0.166667 9 90
playerVirtual1 17 0.166667 9 90
playerVirtual1 18 0.166667 9 90
playerVirtual1 19 0.166667 9 90
playerVirtual1 20 0.166667 9 90
playerVirtual1 21 0.166667 9 90
playerVirtual1 22 0.166667 9 90
playerVirtual1 23 0.166667 9 90
playerVirtual1 24 0.166667 9 90
playerVirtual1 25 0.166667 9 90
playerVirtual1 26 0.166667 9 90
playerVirtual1 27 0.166667 9 90
playerVirtual1 28 0.285714 9 90
playerVirtual1 29 0.285714 9 90
playerVirtual1 30 0.285714 9 90
playerVirtual1 31 0.285714 9 90
playerVirtual1 32 0.285714 9 90
playerVirtual1 33 0.285714 9 90
playerVirtual1 34 0.285714 9 90
playerVirtual1 35 0.285714 9 90
playerVirtual1 36 0.285714 9 90
playerVirtual1 37 0.285714 9 90
playerVirtual1 38 0.285714 9 90
playerVirtual1 39 0.285714 9 90
playerVirtual1 40 0.285714 9 90
playerVirtual1 41 0.285714 9 90
playerVirtual1 42 0.285714 9 90
playerVirtual1 43 0.285714 9 90
playerVirtual1 44 0.285714 9 90
playerVirtual1 45 0.285714 9 90
playerVirtual1 46 0.285714 9 90
playerVirtual1 47 0.285714 9 90
playerVirtual1 48 0.285714 9 90
playerVirtual1 49 0.285714 9 90
playerVirtual1 50 0.285714 9 90
