NAME SCORE HISTORY FAIRNESS ENABLE PLAYOFF
playerVirtual8 3 1.33 50 0.333333 1 0
playerVirtual15 3 0.32 42 0.375 1 0
playerVirtual95 3 0.99 26 0 1 0
