ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
35 192.168.0.200 playerVirtual14_2904109077 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_102b28377a 1 1 512 1 2018-02-12 13:05:39 NULL
36 192.168.0.200 playerVirtual0_905614 playerVirtual0 192.168.0.200 playerVirtual14 playerVirtual14_fb63454031 1 1 2048 20 2018-02-12 13:05:40 NULL
37 192.168.0.200 playerVirtual12_257338074 playerVirtual12 192.168.0.200 playerVirtual16 playerVirtual16_81ce4054af 1 2 4096 40 2018-02-12 13:05:40 NULL
38 192.168.0.200 playerVirtual16_1093460 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_1093460 0 1 512 1 2018-02-12 13:05:40 2018-02-12 13:05:40
39 192.168.0.200 playerVirtual18_6569547 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_abb48a84e0 1 1 2048 20 2018-02-12 13:05:40 NULL
40 192.168.0.200 playerVirtual10_470485660 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_26faed2a75 1 2 4096 40 2018-02-12 13:05:41 NULL
41 192.168.0.200 playerVirtual1_30788568 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_a3ae290a2a 1 1 512 1 2018-02-12 13:07:42 NULL
42 192.168.0.200 playerVirtual11_5792765 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual11_5792765 0 1 512 1 2018-02-12 13:07:45 2018-02-12 13:07:45
43 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_a7e14c5fe2 1 1 512 1 2018-02-12 13:07:55 NULL
44 192.168.0.200 playerVirtual8_400453824 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_e6f4cb2a82 1 1 512 1 2018-02-12 13:07:56 NULL
45 192.168.0.200 playerVirtual2_4820318661 playerVirtual2 192.168.0.200 playerVirtual13 playerVirtual13_71b0df6cce 2 2 4096 40 2018-02-12 13:08:06 2018-02-12 15:58:45
46 192.168.0.200 playerVirtual3_4819935267 playerVirtual3 192.168.0.200 playerVirtual2 playerVirtual2_a0808f0861 1 2 4096 40 2018-02-12 13:08:11 NULL
47 192.168.0.200 playerVirtual13_4820217293 playerVirtual13 192.168.0.200 playerVirtual3 playerVirtual13_4820217293 0 2 4096 40 2018-02-12 13:08:13 2018-02-12 13:08:13
48 192.168.0.200 playerVirtual6_6264344062 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_06d2a82074 3 1 512 1 2018-02-12 13:08:14 2018-02-12 13:29:54
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual6_74197e046b 3 1 512 1 2018-02-12 13:08:24 2018-02-12 13:28:16
