2017-01-31_19:38:44;1;0;0
2017-01-31_19:38:53;1;0;0
2017-01-31_19:39:02;1;0;0
2017-01-31_19:39:12;1;0;0
2017-01-31_19:39:21;1;0;0
2017-01-31_19:39:28;1;0;0
2017-01-31_19:39:35;1;0;0
2017-01-31_19:39:35;1;0;0
2017-01-31_19:39:41;1;0;0
2017-01-31_19:39:42;2;0;0
2017-01-31_19:39:52;2;0;0
2017-01-31_19:40:00;2;0;0
2017-01-31_19:40:15;2;0;0
2017-01-31_19:40:25;2;0;0
2017-01-31_19:40:36;2;0;0
2017-01-31_19:40:52;2;0;0
2017-01-31_19:41:00;2;0;0
2017-01-31_19:41:08;2;0;0
2017-01-31_19:41:57;2;0;0
2017-01-31_19:42:45;2;0;0
2017-01-31_19:43:02;2;1;0
2017-01-31_19:43:12;2;1;0
2017-01-31_19:43:25;2;1;0
2017-01-31_19:43:37;2;1;0
2017-01-31_19:43:45;2;1;0
2017-01-31_19:43:55;2;1;0
2017-01-31_19:44:05;2;1;0
2017-01-31_19:44:06;2;1;0
2017-01-31_19:44:14;2;1;0
2017-01-31_19:44:15;2;2;0
2017-01-31_19:44:25;2;2;0
2017-01-31_19:44:33;2;2;0
2017-01-31_19:44:49;2;2;0
2017-01-31_19:44:59;2;2;0
2017-01-31_19:45:09;2;2;0
2017-01-31_19:45:27;2;2;0
2017-01-31_19:45:35;2;2;0
2017-01-31_19:45:44;2;2;0
2017-01-31_19:46:37;2;2;0
2017-01-31_19:47:26;3;2;0
2017-01-31_19:47:49;3;2;0
2017-01-31_19:47:59;3;2;0
2017-01-31_19:48:20;3;2;0
2017-01-31_19:48:33;3;2;0
2017-01-31_19:48:45;3;2;0
2017-01-31_19:48:54;3;2;0
2017-01-31_19:49:15;3;2;0
2017-01-31_19:49:20;3;2;0
2017-01-31_19:50:41;3;2;0
2017-01-31_19:50:42;4;2;0
2017-01-31_19:50:56;4;2;0
2017-01-31_19:51:08;4;2;0
2017-01-31_19:51:27;4;2;0
2017-01-31_19:51:51;4;2;0
2017-01-31_19:52:11;4;2;0
2017-01-31_19:52:21;4;2;0
2017-01-31_19:52:32;4;2;0
2017-01-31_19:53:28;4;2;0
2017-01-31_19:54:24;4;2;0
2017-01-31_19:55:19;5;2;0
2017-01-31_19:55:57;5;2;0
2017-01-31_19:56:25;5;2;0
2017-01-31_19:57:23;5;2;0
2017-01-31_19:57:38;5;2;0
2017-01-31_19:57:58;5;2;0
2017-01-31_19:58:13;5;2;0
2017-01-31_19:59:11;5;2;0
2017-01-31_19:59:29;5;2;0
2017-01-31_19:59:59;6;2;0
2017-01-31_20:01:26;6;2;0
2017-01-31_20:01:47;6;2;0
2017-01-31_20:01:51;6;2;0
2017-01-31_20:03:45;6;2;0
2017-01-31_20:04:06;6;2;0
2017-01-31_20:04:15;6;3;0
2017-01-31_20:04:54;6;3;0
2017-01-31_20:06:15;6;3;0
2017-01-31_20:06:16;6;3;0
2017-01-31_20:07:44;6;3;0
2017-01-31_20:08:15;6;3;0
2017-01-31_20:08:29;6;3;0
2017-01-31_20:09:59;6;3;0
2017-01-31_20:10:18;7;3;0
2017-01-31_20:10:52;7;3;0
2017-01-31_20:12:02;7;3;0
2017-01-31_20:12:18;7;3;0
2017-01-31_20:15:40;7;3;0
2017-01-31_20:15:41;7;3;0
2017-01-31_20:16:40;7;3;0
2017-01-31_20:20:08;7;3;0
2017-01-31_20:20:31;7;3;0
2017-01-31_20:22:53;7;3;0
2017-01-31_20:24:05;7;3;0
2017-01-31_20:24:42;7;3;0
2017-01-31_20:25:17;7;3;0
2017-01-31_20:27:58;7;3;0
2017-01-31_20:29:04;7;3;0
2017-01-31_20:30:04;7;3;0
2017-01-31_20:32:45;7;3;0
2017-01-31_20:33:46;8;3;0
2017-01-31_20:34:58;8;3;0
2017-01-31_20:36:55;8;3;0
2017-01-31_20:42:00;8;3;0
2017-01-31_20:44:31;8;3;0
2017-01-31_20:44:59;8;3;0
2017-01-31_20:45:00;8;3;0
2017-01-31_20:48:50;8;3;0
2017-01-31_20:49:30;8;3;0
2017-01-31_20:50:45;8;3;0
2017-01-31_20:51:28;8;3;0
2017-01-31_20:53:18;8;3;0
2017-01-31_20:56:42;8;3;0
2017-01-31_20:59:32;8;3;0
2017-01-31_21:01:04;8;3;0
2017-01-31_21:03:23;8;3;0
2017-01-31_21:03:25;8;3;0
2017-01-31_21:07:24;8;3;0
2017-01-31_21:08:05;8;3;0
2017-01-31_21:09:50;8;3;0
2017-01-31_21:10:41;8;3;0
2017-01-31_21:13:04;8;3;0
2017-01-31_21:13:13;8;3;0
2017-01-31_21:15:44;8;3;0
2017-01-31_21:21:34;8;3;0
2017-01-31_21:22:43;8;3;0
2017-01-31_21:23:45;9;3;0
2017-01-31_21:26:10;9;3;0
2017-01-31_21:27:16;9;3;0
2017-01-31_21:30:45;9;3;0
2017-01-31_21:33:09;9;3;0
2017-01-31_21:36:33;9;3;0
2017-01-31_21:39:35;9;3;1
2017-01-31_21:43:43;9;3;1
2017-01-31_21:45:58;9;3;1
2017-01-31_21:46:40;9;3;1
2017-01-31_21:47:17;9;3;1
2017-01-31_21:49:54;9;3;1
2017-01-31_21:52:22;9;3;1
2017-01-31_21:55:38;9;3;1
2017-01-31_21:57:47;9;3;2
2017-01-31_21:59:52;9;3;2
2017-01-31_22:02:08;9;3;2
2017-01-31_22:05:22;9;3;2
2017-01-31_22:12:19;9;3;2
2017-01-31_22:12:40;9;3;2
2017-01-31_22:13:29;9;3;2
2017-01-31_22:15:15;9;3;2
2017-01-31_22:15:40;9;4;2
2017-01-31_22:19:26;9;4;2
2017-01-31_22:22:30;9;4;2
2017-01-31_22:26:56;9;4;2
2017-01-31_22:30:37;9;4;2
2017-01-31_22:31:42;9;4;2
2017-01-31_22:32:56;9;4;2
2017-01-31_22:42:10;9;4;2
2017-01-31_22:43:29;9;4;2
2017-01-31_22:48:19;9;4;2
2017-01-31_22:50:19;10;4;2
2017-01-31_22:52:58;10;4;2
2017-01-31_22:54:12;10;4;2
2017-01-31_22:54:52;10;4;2
2017-01-31_22:55:22;10;4;2
2017-01-31_23:01:25;10;4;2
2017-01-31_23:02:26;10;4;2
2017-01-31_23:03:50;10;4;2
2017-01-31_23:07:01;10;4;2
2017-01-31_23:11:18;10;4;2
2017-01-31_23:12:09;10;4;2
2017-01-31_23:19:30;10;4;2
2017-01-31_23:20:19;10;4;2
2017-01-31_23:23:35;10;4;2
2017-01-31_23:24:48;10;4;3
2017-01-31_23:30:09;10;4;3
2017-01-31_23:30:57;10;4;3
2017-01-31_23:31:13;10;4;3
2017-01-31_23:33:03;10;4;3
2017-01-31_23:38:07;10;4;3
2017-01-31_23:39:08;10;4;3
2017-01-31_23:42:36;10;4;3
2017-01-31_23:43:33;10;4;3
2017-01-31_23:46:28;10;4;3
