2017-02-08 12:16:57,900 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:57,900 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:57,901 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 1, u'playerId': u'playerVirtual2', u'retId': u'', u'reqId': u'playerVirtual2_990694203', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'name': u'playerVirtual2_990694203', u'mem': u'2048', u'image': u'cirros-0.3.2-x86_64', u'vcpus': u'1', u'flavor': u'm1.small', u'disk': u'20', u'net': u'demo-net', u'uuid': u'playerVirtual2_990694203'}, u'destName': u''} appid virtual_players
2017-02-08 12:16:57,901 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual2_990694203
2017-02-08 12:16:58,224 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:58,224 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:58,224 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 0, u'playerId': u'playerVirtual5', u'retId': u'', u'reqId': u'playerVirtual5_2cfc46c7d3', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''} appid virtual_players
2017-02-08 12:16:58,225 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual5_2cfc46c7d3
2017-02-08 12:16:58,585 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:58,587 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:58,587 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual6', u'retId': u'', u'reqId': u'playerVirtual6_6e56ec824f', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 10000, u'disk': 10000, u'memory': 10000}, u'destName': u''} appid virtual_players
2017-02-08 12:16:58,589 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual6_6e56ec824f
2017-02-08 12:16:58,816 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:58,816 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:58,816 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual0', u'retId': u'', u'reqId': u'playerVirtual0_3ec8d37c12', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 0, u'disk': 0, u'memory': 0}, u'destName': u''} appid virtual_players
2017-02-08 12:16:58,817 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual0_3ec8d37c12
2017-02-08 12:16:59,002 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:59,002 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:59,002 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 0, u'playerId': u'playerVirtual7', u'retId': u'', u'reqId': u'playerVirtual7_ba00752519', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''} appid virtual_players
2017-02-08 12:16:59,003 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual7_ba00752519
2017-02-08 12:16:59,289 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-08 12:16:59,289 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-08 12:16:59,290 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 8, u'playerId': u'playerVirtual3', u'retId': u'', u'reqId': u'playerVirtual3_eda6820c5f', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''}
2017-02-08 12:16:59,604 MCT_Dispatch INFO     MESSAGE playerVirtual3_eda6820c5f REMOVED FROM PENDING!
