2017-01-31_19:38:23;0;1;0
2017-01-31_19:38:44;1;1;0
2017-01-31_19:38:53;1;2;0
2017-01-31_19:39:02;2;2;0
2017-01-31_19:39:12;2;2;1
2017-01-31_19:39:21;2;2;2
2017-01-31_19:39:28;2;2;3
2017-01-31_19:39:35;2;3;3
2017-01-31_19:39:35;2;3;4
2017-01-31_19:39:41;2;4;4
2017-01-31_19:39:42;3;4;4
2017-01-31_19:39:52;3;5;4
2017-01-31_19:40:00;3;5;5
2017-01-31_19:40:15;4;5;5
2017-01-31_19:40:25;5;5;5
2017-01-31_19:40:36;6;5;5
2017-01-31_19:40:52;6;6;5
2017-01-31_19:41:00;6;7;5
2017-01-31_19:41:08;6;8;5
2017-01-31_19:41:57;6;8;6
2017-01-31_19:42:45;6;9;6
2017-01-31_19:43:02;6;10;6
2017-01-31_19:43:12;7;10;6
2017-01-31_19:43:25;8;10;6
2017-01-31_19:43:37;8;11;6
2017-01-31_19:43:45;8;12;6
2017-01-31_19:43:55;9;12;6
2017-01-31_19:44:05;9;13;6
2017-01-31_19:44:06;9;14;6
2017-01-31_19:44:14;10;14;6
2017-01-31_19:44:15;10;15;6
2017-01-31_19:44:25;11;15;6
2017-01-31_19:44:33;11;16;6
2017-01-31_19:44:49;12;16;6
2017-01-31_19:44:59;12;16;7
2017-01-31_19:45:09;12;17;7
2017-01-31_19:45:27;13;17;7
2017-01-31_19:45:35;13;18;7
2017-01-31_19:45:44;13;18;8
2017-01-31_19:46:37;14;18;8
2017-01-31_19:47:26;15;18;8
2017-01-31_19:47:49;16;18;8
2017-01-31_19:47:59;17;18;8
2017-01-31_19:48:20;17;18;9
2017-01-31_19:48:33;17;18;10
2017-01-31_19:48:45;17;18;11
2017-01-31_19:48:54;18;18;11
2017-01-31_19:49:15;19;18;11
2017-01-31_19:49:20;19;19;11
2017-01-31_19:50:41;19;20;11
2017-01-31_19:50:42;20;20;11
2017-01-31_19:50:56;20;21;11
2017-01-31_19:51:08;20;22;11
2017-01-31_19:51:27;20;23;11
2017-01-31_19:51:51;20;24;11
2017-01-31_19:52:11;20;25;11
2017-01-31_19:52:21;20;26;11
2017-01-31_19:52:32;20;27;11
2017-01-31_19:53:28;21;27;11
2017-01-31_19:54:24;22;27;11
2017-01-31_19:55:19;23;27;11
2017-01-31_19:55:57;23;27;12
2017-01-31_19:56:25;23;28;12
2017-01-31_19:57:23;23;29;12
2017-01-31_19:57:38;24;29;12
2017-01-31_19:57:58;25;29;12
2017-01-31_19:58:13;25;30;12
2017-01-31_19:59:11;25;31;12
2017-01-31_19:59:29;26;31;12
2017-01-31_19:59:59;27;31;12
2017-01-31_20:01:26;27;32;12
2017-01-31_20:01:47;28;32;12
2017-01-31_20:01:51;28;33;12
2017-01-31_20:03:45;28;34;12
2017-01-31_20:04:06;29;34;12
2017-01-31_20:04:15;29;35;12
2017-01-31_20:04:54;29;36;12
2017-01-31_20:06:15;30;36;12
2017-01-31_20:06:16;30;37;12
2017-01-31_20:07:44;30;38;12
2017-01-31_20:08:15;30;39;12
2017-01-31_20:08:29;30;40;12
2017-01-31_20:09:59;30;41;12
2017-01-31_20:10:18;31;41;12
2017-01-31_20:10:52;32;41;12
2017-01-31_20:12:02;33;41;12
