ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
149 192.168.0.200 playerVirtual15_794070039 playerVirtual15 192.168.0.200 playerVirtual11 playerVirtual11_f950de67ff 1 1 512 1 2018-02-14 17:44:27 NULL
150 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_fad2fa73bb 3 2 4096 40 2018-02-14 17:45:55 2018-02-14 18:03:57
151 192.168.0.200 playerVirtual8_5297461910 playerVirtual8 192.168.0.200 playerVirtual14 playerVirtual14_f4c501ce43 1 1 512 1 2018-02-14 17:47:43 NULL
152 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual16 playerVirtual16_e8dae8c00e 3 2 4096 40 2018-02-14 17:56:28 2018-02-14 18:24:27
153 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_c904583eeb 3 2 4096 40 2018-02-14 17:57:55 2018-02-14 18:13:01
154 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual15 playerVirtual15_31ae8d063f 3 2 4096 40 2018-02-14 18:00:32 2018-02-14 18:17:05
155 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_57a4e6c479 3 2 4096 40 2018-02-14 18:02:53 2018-02-14 18:19:43
156 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_c89438628a 1 2 4096 40 2018-02-14 18:06:37 NULL
157 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_003260892e 1 2 4096 40 2018-02-14 18:07:26 NULL
158 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_680c9f1f5e 1 2 4096 40 2018-02-14 18:10:01 NULL
159 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_11733461c2 1 2 4096 40 2018-02-14 18:19:38 NULL
160 192.168.0.200 playerVirtual9_6391421427 playerVirtual9 192.168.0.200 playerVirtual11 playerVirtual11_3ae81162c4 1 1 512 1 2018-02-14 18:24:25 NULL
