2017-02-07 15:26:07,562 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual7', u'retId': u'', u'reqId': u'playerVirtual7_07c59b6c62', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 10000, u'disk': 10000, u'memory': 10000}, u'destName': u''} appid virtual_players
2017-02-07 15:26:07,570 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual7_07c59b6c62
2017-02-07 15:26:07,880 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:07,880 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:07,880 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 8, u'playerId': u'playerVirtual7', u'retId': u'', u'reqId': u'playerVirtual7_07c59b6c62', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''}
2017-02-07 15:26:08,086 MCT_Dispatch INFO     MESSAGE playerVirtual7_07c59b6c62 REMOVED FROM PENDING!
2017-02-07 15:26:12,173 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:12,173 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:12,173 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 0, u'playerId': u'playerVirtual0', u'retId': u'', u'reqId': u'playerVirtual0_84eb38564d', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''} appid virtual_players
2017-02-07 15:26:12,181 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual0_84eb38564d
2017-02-07 15:26:12,340 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:12,341 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:12,341 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 0, u'playerId': u'playerVirtual0', u'retId': u'', u'reqId': u'playerVirtual0_84eb38564d', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'disk_mb': 90000, u'vcpu_used': 473, u'vcpu': 90000, u'memory_mb_used': 832000, u'memory_mb': 90000, u'disk_mb_used': 7769}, u'destName': u''}
2017-02-07 15:26:12,508 MCT_Dispatch INFO     MESSAGE playerVirtual0_84eb38564d REMOVED FROM PENDING!
2017-02-07 15:26:14,001 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:14,001 MCT_Dispatch INFO     FIELDS ARE OK...
