SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 20 0 0
2 37 0 0
3 46 0 1
4 47 0 3
5 49 0 4
6 48 0 7
7 46 0 10
8 44 0 12
9 43 0 14
10 42 0 15
11 44 0 17
12 43 1 17
13 46 1 18
14 45 1 19
15 45 1 20
16 46 1 20
17 44 1 22
18 45 1 23
19 45 1 23
20 46 1 24
21 46 1 24
22 44 1 26
23 44 1 26
24 43 1 28
25 44 1 28
26 46 1 28
27 46 1 28
28 45 1 29
29 45 1 30
30 45 1 30
31 44 1 31
32 44 1 32
33 44 1 32
34 43 1 34
35 43 1 34
36 44 1 34
37 44 1 34
38 43 1 35
39 43 1 35
40 43 1 35
41 43 1 35
42 43 1 35
43 43 1 35
44 45 1 35
45 45 1 35
46 46 1 35
47 46 1 35
48 46 1 35
49 45 1 36
50 45 1 36
51 44 1 37
52 44 1 37
53 45 1 37
54 45 1 37
55 45 1 37
56 45 1 37
57 45 1 37
58 45 1 37
59 44 1 41
60 44 1 41
61 44 1 41
62 44 1 41
63 44 1 41
64 44 1 41
65 44 1 41
66 44 1 41
67 45 1 41
68 45 1 41
69 45 1 41
70 45 1 41
71 44 1 44
72 44 1 44
73 44 1 44
74 43 1 45
75 43 1 45
76 43 1 45
77 42 1 46
78 42 1 46
79 42 1 46
80 42 1 46
81 42 1 46
82 41 1 50
83 41 1 50
84 41 1 50
85 41 1 50
86 41 1 50
87 41 1 50
88 41 1 50
89 41 1 50
90 41 1 50
91 41 1 50
92 42 1 50
93 42 1 50
94 43 1 50
95 42 1 51
96 42 1 51
97 43 1 51
98 45 1 51
99 45 1 51
100 46 1 51
