NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
playerVirtual5 0 0 0 1
playerVirtual5 1 1 6 1
playerVirtual5 2 1 6 3
playerVirtual5 2 1 6 4
playerVirtual5 3 1 6 5
playerVirtual5 3 1 6 6
playerVirtual5 4 1 6 6
playerVirtual5 4 1 6 8
playerVirtual5 5 0.875 6 9
playerVirtual5 5 0.875 6 10
playerVirtual5 6 0.875 6 11
playerVirtual5 6 0.875 6 12
playerVirtual5 7 0.875 6 13
playerVirtual5 7 0.875 6 14
playerVirtual5 8 0.777778 6 15
playerVirtual5 8 0.777778 6 16
playerVirtual5 9 0.777778 6 16
playerVirtual5 9 0.777778 6 18
playerVirtual5 10 0.8 6 18
playerVirtual5 10 0.8 6 19
playerVirtual5 11 0.8 6 20
playerVirtual5 11 0.8 6 22
playerVirtual5 12 0.8 6 23
playerVirtual5 12 0.8 6 24
playerVirtual5 13 0.9 6 25
playerVirtual5 13 0.9 6 26
playerVirtual5 14 0.9 6 27
playerVirtual5 14 0.9 6 28
playerVirtual5 15 0.9 6 28
playerVirtual5 15 0.9 6 29
playerVirtual5 16 0.75 6 31
playerVirtual5 16 0.75 6 32
playerVirtual5 17 0.75 6 32
playerVirtual5 17 0.75 6 33
playerVirtual5 18 0.75 6 34
playerVirtual5 18 0.75 6 35
playerVirtual5 19 0.692308 6 36
playerVirtual5 19 0.692308 6 38
playerVirtual5 20 0.692308 6 38
playerVirtual5 20 0.692308 6 39
playerVirtual5 21 0.692308 6 40
playerVirtual5 21 0.692308 6 42
playerVirtual5 22 0.692308 6 42
playerVirtual5 22 0.692308 6 43
playerVirtual5 23 0.642857 6 44
playerVirtual5 23 0.642857 6 45
playerVirtual5 24 0.642857 6 47
playerVirtual5 24 0.642857 6 48
playerVirtual5 25 0.642857 6 49
playerVirtual5 25 0.642857 6 49
playerVirtual5 26 0.6 6 50
playerVirtual5 26 0.6 6 51
playerVirtual5 27 0.6 6 52
playerVirtual5 27 0.6 6 54
playerVirtual5 28 0.6 6 54
playerVirtual5 28 0.6 6 55
playerVirtual5 29 0.5625 6 56
playerVirtual5 29 0.5625 6 57
playerVirtual5 30 0.5625 6 58
playerVirtual5 30 0.5625 6 59
playerVirtual5 31 0.5625 6 60
playerVirtual5 31 0.5625 6 61
playerVirtual5 32 0.5625 6 63
playerVirtual5 32 0.5625 6 63
playerVirtual5 33 0.5625 6 65
playerVirtual5 33 0.5625 6 65
playerVirtual5 34 0.529412 6 66
playerVirtual5 34 0.529412 6 68
playerVirtual5 35 0.555556 6 68
playerVirtual5 35 0.555556 6 70
playerVirtual5 36 0.555556 6 71
playerVirtual5 36 0.555556 6 71
playerVirtual5 37 0.555556 6 72
playerVirtual5 37 0.555556 6 73
playerVirtual5 38 0.555556 6 74
playerVirtual5 38 0.555556 6 76
playerVirtual5 39 0.555556 6 76
playerVirtual5 39 0.555556 6 77
playerVirtual5 40 0.555556 6 78
playerVirtual5 40 0.555556 6 79
playerVirtual5 41 0.555556 6 80
playerVirtual5 41 0.555556 6 81
playerVirtual5 41 0.555556 6 82
playerVirtual5 42 0.722222 6 84
playerVirtual5 42 0.722222 6 84
playerVirtual5 43 0.722222 6 85
playerVirtual5 43 0.722222 6 87
playerVirtual5 44 0.722222 6 87
playerVirtual5 44 0.722222 6 88
playerVirtual5 45 0.722222 6 90
playerVirtual5 45 0.722222 6 90
playerVirtual5 46 0.722222 6 90
playerVirtual5 46 0.722222 6 90
playerVirtual5 47 0.684211 6 90
playerVirtual5 47 0.684211 6 90
playerVirtual5 48 0.684211 6 90
playerVirtual5 48 0.684211 6 90
playerVirtual5 49 0.684211 6 90
playerVirtual5 49 0.684211 6 90
playerVirtual5 50 0.684211 6 90
playerVirtual5 50 0.684211 6 90
