SAMPLE RUNNING CHEATING FINISHED ERROR
0 0 0 0 0
1 20 0 0 0
2 29 2 0 0
3 37 6 0 0
4 47 10 1 1
5 45 16 2 1
6 46 20 3 1
7 48 24 5 1
8 45 27 8 1
9 43 29 10 1
10 40 29 13 1
11 39 30 14 1
12 38 32 16 1
13 37 33 17 1
14 39 34 18 1
15 41 35 18 1
16 38 35 21 1
17 37 35 22 1
18 36 38 23 1
19 38 38 23 1
20 38 40 23 1
21 39 41 23 1
22 37 41 26 1
23 36 41 27 1
24 38 41 27 1
25 36 44 27 1
26 38 46 28 1
27 37 47 28 1
28 36 49 29 1
29 35 48 32 1
