SAMPLE SI_MEAN
0 NULL
1 0.000
2 0.606
3 0.617
4 0.546
5 0.583
6 0.521
7 0.448
8 0.428
9 0.413
10 0.392
11 0.369
12 0.339
13 0.324
14 0.295
15 0.288
16 0.286
17 0.275
18 0.258
19 0.244
20 0.232
21 0.226
22 0.220
23 0.216
24 0.206
25 0.198
26 0.184
27 0.184
28 0.178
29 0.177
