SAMPLE SI
0
1 0.000
2 0.667
3 0.400
4 0.667
5 0.833
6 0.833
7 0.714
8 0.750
9 0.750
10 0.750
11 0.750
12 0.667
13 0.778
14 0.778
15 0.700
16 0.700
17 0.700
18 0.636
19 0.636
20 0.636
21 0.636
22 0.636
23 0.636
24 0.583
25 0.583
26 0.583
27 0.583
28 0.538
29 0.538
30 0.538
