SAMPLE SI
0
1 0.000
2 0.667
3 0.750
4 0.800
5 0.833
6 0.833
7 0.714
8 0.714
9 0.625
10 0.625
11 0.625
12 0.625
13 0.625
14 0.625
15 0.556
16 0.667
17 0.667
18 0.667
19 0.667
20 0.667
21 0.667
22 0.600
23 0.700
24 0.700
25 0.636
26 0.636
27 0.636
28 0.636
29 0.583
30 0.583
