2017-02-11 08:55:08,471 MCT_Dispatch INFO     MESSAGE playerVirtual1_9922c1a4d8 REMOVED FROM PENDING!
2017-02-11 08:55:08,859 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:08,860 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:08,860 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual8', u'retId': u'', u'reqId': u'playerVirtual8_75bb4cca92', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 10000, u'disk': 10000, u'memory': 10000}, u'destName': u''} appid virtual_players
2017-02-11 08:55:08,868 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual8_75bb4cca92
2017-02-11 08:55:09,044 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:09,044 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:09,044 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 8, u'playerId': u'playerVirtual8', u'retId': u'', u'reqId': u'playerVirtual8_75bb4cca92', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''}
2017-02-11 08:55:09,107 MCT_Dispatch INFO     MESSAGE playerVirtual8_75bb4cca92 REMOVED FROM PENDING!
2017-02-11 08:55:12,444 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:12,444 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:12,444 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 1, u'playerId': u'playerVirtual1', u'retId': u'', u'reqId': u'playerVirtual1_4246147567', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'name': u'playerVirtual1_4246147567', u'mem': u'4096', u'image': u'cirros-0.3.2-x86_64', u'vcpus': u'2', u'flavor': u'm1.medium', u'disk': u'40', u'net': u'demo-net', u'uuid': u'playerVirtual1_4246147567'}, u'destName': u''} appid virtual_players
2017-02-11 08:55:12,453 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual1_4246147567
2017-02-11 08:55:12,582 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:12,582 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:12,582 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 1, u'playerId': u'playerVirtual1', u'retId': u'playerVirtual1_4246147567', u'reqId': u'playerVirtual1_4246147567', u'origAddr': u'10.3.77.162', u'destAddr': u'10.3.77.162', u'data': {u'name': u'playerVirtual1_4246147567', u'mem': u'4096', u'image': u'cirros-0.3.2-x86_64', u'vcpus': u'2', u'flavor': u'm1.medium', u'disk': u'40', u'net': u'demo-net', u'uuid': u'playerVirtual1_4246147567'}, u'destName': u'playerVirtual3'}
2017-02-11 08:55:12,759 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:12,760 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:12,760 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 1, u'code': 1, u'playerId': u'playerVirtual1', u'retId': u'playerVirtual1_4246147567', u'reqId': u'playerVirtual1_4246147567', u'origAddr': u'10.3.77.162', u'destAddr': u'10.3.77.162', u'data': {u'name': u'playerVirtual1_4246147567', u'mem': u'4096', u'image': u'cirros-0.3.2-x86_64', u'vcpus': u'2', u'flavor': u'm1.medium', u'disk': u'40', u'net': u'demo-net', u'uuid': u'playerVirtual1_4246147567'}, u'destName': u'playerVirtual3'} appid virtual_players
2017-02-11 08:55:12,982 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:12,982 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:12,983 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 1, u'code': 1, u'playerId': u'playerVirtual1', u'retId': u'', u'reqId': u'playerVirtual1_4246147567', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'name': u'playerVirtual1_4246147567', u'mem': u'4096', u'image': u'cirros-0.3.2-x86_64', u'vcpus': u'2', u'flavor': u'm1.medium', u'disk': u'40', u'net': u'demo-net', u'uuid': u'playerVirtual1_4246147567'}, u'destName': u'playerVirtual3'}
2017-02-11 08:55:13,230 MCT_Dispatch INFO     MESSAGE playerVirtual1_4246147567 REMOVED FROM PENDING!
2017-02-11 08:55:15,175 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:15,175 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:15,175 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual9', u'retId': u'', u'reqId': u'playerVirtual9_394ce0bed4', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 10000, u'disk': 10000, u'memory': 10000}, u'destName': u''} appid virtual_players
2017-02-11 08:55:15,183 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual9_394ce0bed4
2017-02-11 08:55:15,356 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-11 08:55:15,356 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-11 08:55:15,356 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 8, u'playerId': u'playerVirtual9', u'retId': u'', u'reqId': u'playerVirtual9_394ce0bed4', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''}
