SAMPLE RUNNING CHEATING FINISHED
0 0 0 0
1 3 0 0
2 8 0 0
3 11 0 0
4 14 0 0
5 18 0 0
6 25 0 0
7 30 0 0
8 35 0 0
9 39 0 0
10 43 0 2
11 51 0 2
12 54 0 2
13 55 0 4
14 57 0 5
15 57 0 7
16 55 0 11
17 55 0 14
18 55 0 15
19 59 0 16
20 60 0 18
21 59 0 22
22 60 0 26
23 59 0 27
24 60 0 31
25 62 0 34
26 60 0 36
27 62 0 38
28 62 0 41
29 62 0 41
30 62 0 44
