id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
8	100	170	170	0	1	2018-01-08 12:24:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
8	100	170	170	0	1	2018-01-08 12:24:43
9	100	188	188	0	1	2018-01-08 12:29:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
8	100	170	170	0	1	2018-01-08 12:24:43
9	100	188	188	0	1	2018-01-08 12:29:43
10	100	200	200	0	1	2018-01-08 12:34:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
8	100	170	170	0	1	2018-01-08 12:24:43
9	100	188	188	0	1	2018-01-08 12:29:43
10	100	200	200	0	1	2018-01-08 12:34:43
11	100	204	204	0	1	2018-01-08 12:39:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
8	100	170	170	0	1	2018-01-08 12:24:43
9	100	188	188	0	1	2018-01-08 12:29:43
10	100	200	200	0	1	2018-01-08 12:34:43
11	100	204	204	0	1	2018-01-08 12:39:43
12	100	216	216	0	1	2018-01-08 12:44:43
id	players	all_requests	accepts	rejects	fairness	timestamp
1	0	0	0	0	0	2018-01-08 11:49:42
2	100	49	49	0	1	2018-01-08 11:54:42
3	100	72	72	0	1	2018-01-08 11:59:42
4	100	93	93	0	1	2018-01-08 12:04:42
5	100	104	104	0	1	2018-01-08 12:09:42
6	100	128	128	0	1	2018-01-08 12:14:43
7	100	147	147	0	1	2018-01-08 12:19:43
